token,timestamp,iterations,elapsedtime,averagetime
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,885.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,885.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1062.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1062.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1062.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1062.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1062.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1062.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1062.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24517,1062.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24517,1062.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1062.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24517,1062.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1062.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1062.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1063.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24517,1063.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1063.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.2
